"time","heart-rate"
2016-04-12 00:00:00,52
2016-04-12 00:05:00,55
2016-04-12 00:10:00,53
2016-04-12 00:15:00,52
2016-04-12 00:20:00,52
2016-04-12 00:25:00,53
2016-04-12 00:30:00,53
2016-04-12 00:35:00,55
2016-04-12 00:40:00,52
2016-04-12 00:45:00,52
2016-04-12 00:50:00,51
2016-04-12 00:55:00,50
2016-04-12 01:00:00,50
2016-04-12 01:05:00,50
2016-04-12 01:10:00,51
2016-04-12 01:15:00,50
2016-04-12 01:20:00,52
2016-04-12 01:25:00,54
2016-04-12 01:30:00,60
2016-04-12 01:35:00,57
2016-04-12 01:40:00,52
2016-04-12 01:45:00,51
2016-04-12 01:50:00,52
2016-04-12 01:55:00,54
2016-04-12 02:05:00,53
2016-04-12 02:15:00,51
2016-04-12 02:20:00,50
2016-04-12 02:25:00,49
2016-04-12 02:30:00,50
2016-04-12 02:35:00,54
2016-04-12 02:40:00,55
2016-04-12 02:45:00,53
2016-04-12 02:50:00,53
2016-04-12 02:55:00,54
2016-04-12 03:00:00,51
2016-04-12 03:05:00,51
2016-04-12 03:10:00,51
2016-04-12 03:15:00,50
2016-04-12 03:20:00,50
2016-04-12 03:25:00,51
2016-04-12 03:30:00,51
2016-04-12 03:35:00,52
2016-04-12 03:40:00,54
2016-04-12 03:45:00,50
2016-04-12 03:50:00,50
2016-04-12 03:55:00,51
2016-04-12 04:00:00,51
2016-04-12 04:05:00,52
2016-04-12 04:10:00,49
2016-04-12 04:15:00,49
2016-04-12 04:20:00,49
2016-04-12 04:25:00,50
2016-04-12 04:30:00,50
2016-04-12 04:35:00,50
2016-04-12 04:40:00,50
2016-04-12 04:45:00,50
2016-04-12 04:50:00,50
2016-04-12 04:55:00,50
2016-04-12 05:00:00,53
2016-04-12 05:05:00,52
2016-04-12 05:10:00,54
2016-04-12 05:15:00,52
2016-04-12 05:20:00,51
2016-04-12 05:25:00,54
2016-04-12 05:30:00,49
2016-04-12 05:35:00,54
2016-04-12 05:40:00,53
2016-04-12 05:45:00,52
2016-04-12 05:50:00,52
2016-04-12 05:55:00,56
2016-04-12 06:00:00,52
2016-04-12 06:05:00,50
2016-04-12 06:10:00,49
2016-04-12 06:15:00,51
2016-04-12 06:20:00,51
2016-04-12 06:25:00,51
2016-04-12 06:30:00,51
2016-04-12 06:35:00,52
2016-04-12 06:40:00,52
2016-04-12 06:45:00,53
2016-04-12 06:50:00,54
2016-04-12 06:55:00,52
2016-04-12 07:00:00,56
2016-04-12 07:10:00,65
2016-04-12 07:15:00,56
2016-04-12 07:20:00,54
2016-04-12 07:25:00,59
2016-04-12 07:30:00,54
2016-04-12 07:35:00,56
2016-04-12 07:40:00,52
2016-04-12 07:45:00,54
2016-04-12 07:50:00,60
2016-04-12 07:55:00,62
2016-04-12 08:00:00,58
2016-04-12 08:05:00,60
2016-04-12 08:10:00,60
2016-04-12 08:15:00,58
2016-04-12 08:20:00,60
2016-04-12 08:25:00,64
2016-04-12 08:30:00,68
2016-04-12 08:35:00,75
2016-04-12 08:40:00,74
2016-04-12 08:45:00,75
2016-04-12 08:50:00,72
2016-04-12 08:55:00,81
2016-04-12 09:00:00,71
2016-04-12 09:05:00,90
2016-04-12 09:10:00,86
2016-04-12 09:25:00,86
2016-04-12 09:30:00,84
2016-04-12 09:35:00,80
2016-04-12 09:40:00,70
2016-04-12 09:45:00,69
2016-04-12 09:50:00,69
2016-04-12 09:55:00,69
2016-04-12 10:00:00,69
2016-04-12 10:05:00,70
2016-04-12 10:10:00,71
2016-04-12 10:15:00,91
2016-04-12 10:20:00,67
2016-04-12 10:25:00,69
2016-04-12 10:30:00,68
2016-04-12 10:35:00,65
2016-04-12 10:40:00,82
2016-04-12 10:45:00,63
2016-04-12 10:50:00,65
2016-04-12 10:55:00,89
2016-04-12 11:00:00,72
2016-04-12 11:05:00,61
2016-04-12 11:10:00,62
2016-04-12 11:15:00,62
2016-04-12 11:20:00,60
2016-04-12 11:25:00,61
2016-04-12 11:30:00,60
2016-04-12 11:35:00,60
2016-04-12 11:40:00,59
2016-04-12 11:45:00,61
2016-04-12 11:50:00,60
2016-04-12 11:55:00,60
2016-04-12 12:00:00,63
2016-04-12 12:05:00,90
2016-04-12 12:10:00,70
2016-04-12 12:15:00,66
2016-04-12 12:20:00,58
2016-04-12 12:25:00,57
2016-04-12 12:30:00,56
2016-04-12 12:35:00,59
2016-04-12 12:40:00,72
2016-04-12 12:45:00,93
2016-04-12 12:50:00,95
2016-04-12 12:55:00,95
2016-04-12 13:00:00,94
2016-04-12 13:05:00,98
2016-04-12 13:10:00,102
2016-04-12 13:15:00,93
2016-04-12 13:20:00,69
2016-04-12 13:25:00,61
2016-04-12 13:30:00,61
2016-04-12 13:35:00,60
2016-04-12 13:40:00,61
2016-04-12 13:45:00,61
2016-04-12 13:50:00,63
2016-04-12 13:55:00,63
2016-04-12 14:00:00,71
2016-04-12 14:05:00,62
2016-04-12 14:10:00,64
2016-04-12 14:15:00,82
2016-04-12 14:20:00,84
2016-04-12 14:25:00,63
2016-04-12 14:30:00,64
2016-04-12 14:35:00,62
2016-04-12 14:40:00,65
2016-04-12 14:45:00,61
2016-04-12 14:50:00,63
2016-04-12 14:55:00,63
2016-04-12 15:00:00,61
2016-04-12 15:05:00,63
2016-04-12 15:10:00,61
2016-04-12 15:15:00,58
2016-04-12 15:20:00,61
2016-04-12 15:25:00,60
2016-04-12 15:30:00,59
2016-04-12 15:35:00,60
2016-04-12 15:40:00,60
2016-04-12 15:45:00,60
2016-04-12 15:50:00,69
2016-04-12 15:55:00,82
2016-04-12 16:00:00,93
2016-04-12 16:05:00,97
2016-04-12 16:10:00,91
2016-04-12 16:15:00,59
2016-04-12 16:20:00,60
2016-04-12 16:25:00,62
2016-04-12 16:30:00,71
2016-04-12 16:35:00,61
2016-04-12 16:40:00,58
2016-04-12 16:45:00,110
2016-04-12 16:50:00,115
2016-04-12 16:55:00,92
2016-04-12 17:00:00,81
2016-04-12 17:05:00,77
2016-04-12 17:10:00,78
2016-04-12 17:15:00,78
2016-04-12 17:20:00,77
2016-04-12 17:25:00,72
2016-04-12 17:30:00,76
2016-04-12 17:35:00,96
2016-04-12 17:40:00,103
2016-04-12 17:45:00,115
2016-04-12 17:50:00,110
2016-04-12 17:55:00,96
2016-04-12 18:00:00,98
2016-04-12 18:05:00,116
2016-04-12 18:10:00,129
2016-04-12 18:15:00,126
2016-04-12 18:20:00,115
2016-04-12 18:25:00,105
2016-04-12 18:30:00,97
2016-04-12 18:35:00,102
